direction,key,chest,pelvis,waist,pitch,forward,drop,right_elbow_x,right_elbow_y,right_elbow_z,left_elbow_x,left_elbow_y,left_elbow_z,right_wrist,left_wrist
0,0,0,0,0,0,0,0,0.45,0.65,-1,0.65,-0.55,-1,0,0
0,1,30.5,13.8,6,0,-2,1,0.705,0.99,-0.5325,0.8625,-0.89,-0.7025,0,0
0,2,39.04,10.35,8,0,-3,2,0.75,1.05,-0.45,0.9,-0.95,-0.65,0,0
0,3,20.74,-5.75,1,0,1,3,0.15,1.65,-0.55,0.8,-0.35,-1.4,0,0
0,4,-18.3,-19.55,-7,-0,5,4,0.15,1.65,-0.55,0.8,-0.35,-1.4,0,0
0,5,-42.7,-20.7,-11,-0,5,3,0.15,1.65,-0.55,0.8,-0.35,-1.4,0,0
0,6,-47.58,-18.4,-11,-0,3,2,0.45,0.65,-1.1,0.95,-0.55,-1.1,0,0
0,7,-41.48,-14.95,-8,-0,2,2,0.45,0.65,-1.09,0.92,-0.55,-1.09,0,0
0,8,-14.64,-4.6,-3,-0,1,1,0.45,0.65,-1.03,0.74,-0.55,-1.03,0,0
0,9,0,0,0,0,0,0,0.45,0.65,-1,0.65,-0.55,-1,0,0
1,0,0,0,0,0,0,0,0.45,0.65,-1,0.65,-0.55,-1,0,0
1,1,26.4468,11.9661,5.2026,5.4094,-2,1,0.705,0.99,-0.3769,0.8625,-0.89,0.3858,0,0
1,2,33.8518,8.9746,6.9369,6.364,-3,2,0.75,1.05,-0.2669,0.9,-0.95,0.6303,0,0
1,3,17.9838,-4.9858,0.8671,2.5456,1,3,0.6505,0.91,-0.5385,0.8509,-0.81,0.0447,0,0
1,4,-15.8681,-16.9519,-6.0697,-4.879,5,4,0.5151,0.71,-0.945,0.8283,-0.61,-0.8105,0,0
1,5,-37.0254,-17.9491,-9.5382,-9.5459,5,3,0.483,0.65,-1.09,0.8805,-0.55,-1.09,0,0
1,6,-41.257,-15.9548,-9.5382,-10.6066,3,2,0.4866,0.65,-1.1,0.9061,-0.55,-1.1,0,0
1,7,-35.9676,-12.9633,-6.9369,-9.5459,2,2,0.483,0.65,-1.09,0.8805,-0.55,-1.09,0,0
1,8,-12.6945,-3.9887,-2.6013,-3.182,1,1,0.461,0.65,-1.03,0.7268,-0.55,-1.03,0,0
1,9,0,0,0,0,0,0,0.45,0.65,-1,0.65,-0.55,-1,0,0
2,0,0,0,0,0,0,0,0.45,0.65,-1,0.65,-0.55,-1,0,0
2,1,4.88,2.208,0.96,7.65,-2,1,0.705,0.99,-0.0013,0.8625,-0.89,-0.065,0,0
2,2,6.2464,1.656,1.28,9,-3,2,0.75,1.05,0.175,0.9,-0.95,0.1,0,0
2,3,3.3184,-0.92,0.16,3.6,1,3,0.6638,0.91,-0.2513,0.835,-0.81,-0.3,0,0
2,4,-2.928,-3.128,-1.12,-6.9,5,4,0.5638,0.71,-0.8788,0.77,-0.61,-0.89,0,0
2,5,-6.832,-3.312,-1.76,-13.5,5,3,0.5625,0.65,-1.09,0.785,-0.55,-1.09,0,0
2,6,-7.6128,-2.944,-1.76,-15,3,2,0.575,0.65,-1.1,0.8,-0.55,-1.1,0,0
2,7,-6.6368,-2.392,-1.28,-13.5,2,2,0.5625,0.65,-1.09,0.785,-0.55,-1.09,0,0
2,8,-2.3424,-0.736,-0.48,-4.5,1,1,0.4875,0.65,-1.03,0.695,-0.55,-1.03,0,0
2,9,0,0,0,0,0,0,0.45,0.65,-1,0.65,-0.55,-1,0,0
3,0,-0,-0,-0,0,0,0,0.45,0.65,-1,0.65,-0.55,-1,0,0
3,1,-16.6868,-7.5501,-3.2826,5.4094,-2,1,0.705,0.99,0.3744,0.8625,-0.89,-0.5158,0,0
